id;data_hora_coleta;observacao;identificador_externo;recebimento_no_laboratorio;created_by;created_date;last_modified_by;last_modified_date;operacao_id;origem_amostra_id;tipo_amostra_id;amostrada_por_id;recebida_por_id
1;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1245;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5
2;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1245;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5
3;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1245;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5
4;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1245;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5
5;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1245;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5
6;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1245;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5
7;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1245;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5
8;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1245;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5
9;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1245;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5
10;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1245;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5
