id;data_hora;relato;links_externos;responsavel_id
1;2022-04-14T04:52:17;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
2;2022-04-13T18:34:11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2
3;2022-04-13T23:17:31;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
4;2022-04-14T05:53:27;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
5;2022-04-13T10:53:18;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2
6;2022-04-13T16:25:50;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2
7;2022-04-14T03:53:20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
8;2022-04-13T18:58:46;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
9;2022-04-13T20:20:44;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
10;2022-04-13T16:55:00;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
