id;data_hora;relato;links_externos;responsavel_id
1;2022-04-07T11:42:15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
2;2022-04-07T01:24:09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2
3;2022-04-07T06:07:29;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
4;2022-04-07T12:43:25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
5;2022-04-06T17:43:16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2
6;2022-04-06T23:15:48;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2
7;2022-04-07T10:43:18;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
8;2022-04-07T01:48:44;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
9;2022-04-07T03:10:42;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
10;2022-04-06T23:44:58;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
