id;data_hora_coleta;observacao;identificador_externo;recebimento_no_laboratorio;created_by;created_date;last_modified_by;last_modified_date;operacao_id;origem_amostra_id;tipo_amostra_id;amostrada_por_id;recebida_por_id;descricao_de_origem
1;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1210;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;44;1;3;5;TQ-01BB
2;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1211;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;44;1;3;5;TQ-01BE
3;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1212;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;44;1;3;5;TQ-02BB
4;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1213;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;44;1;3;5;TQ-02BE
5;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1214;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;44;1;3;5;TQ-03BB
6;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1215;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;44;1;3;5;TQ-03BE
7;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1216;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;44;1;3;5;TQ-04BB
8;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1217;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;44;1;3;5;TQ-04BE
9;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1218;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;44;1;3;5;TQ-05CE
10;2022-03-03T05:19:13;Acompanhamento de qualidade;Ilab 1219;2022-03-03T19:09:27;system;2022-03-03T05:29:23;system;2022-03-03T05:29:23;1;1;7;3;5;
